"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",220.915384063518,213.866434470535,208.527045863076,203.78741234602,204.518194389417,207.075967610877,209.090195697505,206.788686699448,208.332289104393,216.706175414507,201.44029009238,198.667879179194,202.689634653165
"2",210.279492290887,203.467573521598,220.467017432636,208.16882223283,205.173586259139,207.038048958185,211.530182057991,209.646596852698,209.082325742004,217.712616078279,202.715355452383,201.919866452139,204.335995413765
"3",209.144444921116,209.732272123711,204.947570173819,220.126715315103,212.127694441507,206.510826661328,209.272677140633,208.802013121606,210.803041929057,224.342442343275,210.120633495916,224.209629943402,205.714875701074
"4",211.579193436647,210.052961323454,208.111548625739,207.533608414931,209.100691281628,216.001371413148,213.13230073753,210.882967037339,213.121291531105,225.793411927747,215.801940916473,209.183996954234,204.121004519692
"5",214.336419005823,210.084465958077,212.678744810505,210.769533416869,218.848097919121,213.848403567158,218.636863257604,214.825512194295,220.56131756222,235.354325351898,226.757472359392,210.603597155447,208.769529819016
"6",218.194551534649,215.661286457161,216.531096149657,217.980623291709,212.10797424719,205.389276590191,213.639962604749,218.192415799061,242.957754846869,227.917682461432,222.370787007578,212.828227828837,207.073387081826
"7",222.378153514062,219.944223607397,220.446085049677,222.411080415858,221.725150453185,220.294822768457,223.326374326857,227.588241628362,237.706522454399,227.0279018196,221.041490638218,219.138507622788,208.937399509149
"8",226.394588089841,222.33347450417,218.068277020814,219.259001117524,235.87996742132,231.060710320178,227.415295061141,218.062622954864,224.320929998301,233.438418466589,222.92027129135,224.469620618935,210.196213651721
"9",229.434059071425,226.732048545252,222.092350820818,230.373022571334,229.729842696231,227.304325376616,224.979119151686,219.59130652229,220.16248749444,219.050438717001,227.780956434215,228.529322961978,217.052084556323
"10",234.488982337681,234.508595850931,235.357110492443,232.87424433735,227.942703671565,223.665375203367,223.149438947494,220.402142363518,217.28425071903,219.414234223761,222.875724555975,230.309293808274,243.379350135613
"11",267.10608114799,258.795336804866,248.135033502777,235.800085061898,232.229376882425,228.737254207402,222.069643855753,220.491732658556,221.13304980359,225.800983855486,239.20071254939,235.958529441882,226.911034933355
