X,Depth,Resistivity,Conductivity
506.25,1.25,35.89,0.0279
508.75,1.25,29.58,0.0338
511.25,1.25,28.92,0.0346
513.75,1.25,27.57,0.0363
516.25,1.25,30.47,0.0328
518.75,1.25,31.14,0.0321
521.25,1.25,24.75,0.0404
523.75,1.25,24.81,0.0403
526.25,1.25,23,0.0435
528.75,1.25,22.68,0.0441
531.25,1.25,22.69,0.0441
533.75,1.25,21.45,0.0466
536.25,1.25,22.92,0.0436
538.75,1.25,23.75,0.0421
541.25,1.25,28.35,0.0353
543.75,1.25,22.79,0.0439
546.25,1.25,22.78,0.0439
548.75,1.25,22.69,0.0441
551.25,1.25,23.38,0.0428
553.75,1.25,23.51,0.0425
556.25,1.25,24.15,0.0414
558.75,1.25,24.36,0.041
561.25,1.25,22.47,0.0445
563.75,1.25,22.95,0.0436
566.25,1.25,22.06,0.0453
568.75,1.25,25.25,0.0396
571.25,1.25,25.17,0.0397
573.75,1.25,24.94,0.0401
576.25,1.25,27.5,0.0364
578.75,1.25,31.28,0.032
581.25,1.25,29.97,0.0334
583.75,1.25,28.22,0.0354
586.25,1.25,29.64,0.0337
588.75,1.25,32.09,0.0312
591.25,1.25,33.15,0.0302
593.75,1.25,33.22,0.0301
596.25,1.25,30.74,0.0325
598.75,1.25,26.82,0.0373
601.25,1.25,28.82,0.0347
603.75,1.25,28.54,0.035
606.25,1.25,28.55,0.035
608.75,1.25,28.56,0.035
611.25,1.25,28.72,0.0348
613.75,1.25,28.74,0.0348
616.25,1.25,27.28,0.0367
618.75,1.25,28.33,0.0353
621.25,1.25,29.42,0.034
623.75,1.25,24.84,0.0403
626.25,1.25,23.55,0.0425
628.75,1.25,23.32,0.0429
631.25,1.25,25.95,0.0385
633.75,1.25,25.97,0.0385
636.25,1.25,26.39,0.0379
638.75,1.25,27.68,0.0361
641.25,1.25,29.3,0.0341
643.75,1.25,29.68,0.0337
646.25,1.25,27.14,0.0368
648.75,1.25,25.47,0.0393
651.25,1.25,22.31,0.0448
653.75,1.25,19.57,0.0511
656.25,1.25,19.11,0.0523
