X,Depth,Resistivity,Conductivity
506.25,1.25,17.91,0.0558
508.75,1.25,26.66,0.0375
511.25,1.25,26.73,0.0374
513.75,1.25,25.58,0.0391
516.25,1.25,26.22,0.0381
518.75,1.25,27.88,0.0359
521.25,1.25,26.46,0.0378
523.75,1.25,26.57,0.0376
526.25,1.25,21.65,0.0462
528.75,1.25,25.28,0.0396
531.25,1.25,24.79,0.0403
533.75,1.25,20.87,0.0479
536.25,1.25,22.94,0.0436
538.75,1.25,25.03,0.04
541.25,1.25,33.08,0.0302
543.75,1.25,19.47,0.0514
546.25,1.25,26.95,0.0371
548.75,1.25,30.92,0.0323
551.25,1.25,32.27,0.031
553.75,1.25,26.91,0.0372
556.25,1.25,22.81,0.0438
558.75,1.25,26.5,0.0377
561.25,1.25,31.54,0.0317
563.75,1.25,25.62,0.039
566.25,1.25,26.11,0.0383
568.75,1.25,30.67,0.0326
571.25,1.25,32.6,0.0307
573.75,1.25,24.01,0.0416
576.25,1.25,26,0.0385
578.75,1.25,26.02,0.0384
581.25,1.25,25.87,0.0387
583.75,1.25,26.89,0.0372
586.25,1.25,22.33,0.0448
588.75,1.25,23.75,0.0421
591.25,1.25,22.82,0.0438
593.75,1.25,22.89,0.0437
596.25,1.25,22.42,0.0446
598.75,1.25,26.82,0.0373
601.25,1.25,21.31,0.0469
603.75,1.25,28.89,0.0346
606.25,1.25,23.1,0.0433
608.75,1.25,22.13,0.0452
611.25,1.25,30.62,0.0327
613.75,1.25,28.84,0.0347
616.25,1.25,31.38,0.0319
618.75,1.25,31.68,0.0316
621.25,1.25,26.92,0.0372
623.75,1.25,27.26,0.0367
626.25,1.25,24.38,0.041
628.75,1.25,27.05,0.037
631.25,1.25,18.21,0.0549
633.75,1.25,19.67,0.0508
636.25,1.25,19.57,0.0511
638.75,1.25,19.57,0.0511
641.25,1.25,19.2,0.0521
643.75,1.25,16.96,0.059
646.25,1.25,26.16,0.0382
648.75,1.25,14.56,0.0687
651.25,1.25,38.94,0.0257
653.75,1.25,36.1,0.0277
656.25,1.25,111.43,0.008974
658.75,1.25,74.66,0.0134
661.25,1.25,87.23,0.0115
663.75,1.25,94.48,0.0106
666.25,1.25,67.52,0.0148
668.75,1.25,56.7,0.0176
671.25,1.25,71.48,0.014
673.75,1.25,72.72,0.0138
676.25,1.25,29.92,0.0334
678.75,1.25,33.66,0.0297
681.25,1.25,40,0.025
683.75,1.25,40.2,0.0249
686.25,1.25,40.48,0.0247
688.75,1.25,40.74,0.0245
691.25,1.25,40.82,0.0245
693.75,1.25,40.63,0.0246
696.25,1.25,40.37,0.0248
698.75,1.25,40.1,0.0249
701.25,1.25,39.87,0.0251
703.75,1.25,39.73,0.0252
706.25,1.25,39.61,0.0252
708.75,1.25,39.22,0.0255
711.25,1.25,37.93,0.0264
713.75,1.25,34.51,0.029
716.25,1.25,30,0.0333
718.75,1.25,27.86,0.0359
721.25,1.25,35.85,0.0279
723.75,1.25,31.39,0.0319
726.25,1.25,29.15,0.0343
728.75,1.25,29.52,0.0339
731.25,1.25,29.22,0.0342
733.75,1.25,31.21,0.032
