X,Depth,Resistivity,Conductivity
506.25,1.25,33.3,0.03
508.75,1.25,35.9,0.0279
511.25,1.25,33.38,0.03
513.75,1.25,30.11,0.0332
516.25,1.25,29.06,0.0344
518.75,1.25,29.56,0.0338
521.25,1.25,29.09,0.0344
523.75,1.25,28.65,0.0349
526.25,1.25,29.47,0.0339
528.75,1.25,30.64,0.0326
531.25,1.25,31.27,0.032
533.75,1.25,30.69,0.0326
536.25,1.25,33.6,0.0298
538.75,1.25,31.93,0.0313
541.25,1.25,33.82,0.0296
543.75,1.25,33.66,0.0297
546.25,1.25,37.2,0.0269
548.75,1.25,34.92,0.0286
551.25,1.25,36.06,0.0277
553.75,1.25,36.11,0.0277
556.25,1.25,37.56,0.0266
558.75,1.25,38.31,0.0261
561.25,1.25,45.88,0.0218
563.75,1.25,35.78,0.0279
566.25,1.25,39.59,0.0253
568.75,1.25,44.46,0.0225
571.25,1.25,29.72,0.0336
573.75,1.25,50.41,0.0198
576.25,1.25,27.89,0.0359
578.75,1.25,52.51,0.019
581.25,1.25,34.84,0.0287
583.75,1.25,39.38,0.0254
586.25,1.25,24.97,0.04
588.75,1.25,25.68,0.0389
591.25,1.25,23.21,0.0431
593.75,1.25,18.41,0.0543
596.25,1.25,57.4,0.0174
598.75,1.25,57.31,0.0174
601.25,1.25,53.38,0.0187
603.75,1.25,21.85,0.0458
606.25,1.25,51.07,0.0196
608.75,1.25,19.19,0.0521
611.25,1.25,51.18,0.0195
613.75,1.25,22.93,0.0436
616.25,1.25,43.88,0.0228
618.75,1.25,33.72,0.0297
621.25,1.25,44.06,0.0227
623.75,1.25,37.9,0.0264
626.25,1.25,35.4,0.0283
628.75,1.25,41.99,0.0238
631.25,1.25,30.7,0.0326
633.75,1.25,39.03,0.0256
636.25,1.25,26.53,0.0377
638.75,1.25,37.92,0.0264
641.25,1.25,27.04,0.037
643.75,1.25,36.98,0.027
646.25,1.25,32.46,0.0308
648.75,1.25,33.04,0.0303
651.25,1.25,30.16,0.0332
653.75,1.25,30.36,0.0329
656.25,1.25,28.71,0.0348
658.75,1.25,33.35,0.03
661.25,1.25,38.24,0.0262
663.75,1.25,26.34,0.038
666.25,1.25,39.22,0.0255
668.75,1.25,34.38,0.0291
671.25,1.25,33.59,0.0298
673.75,1.25,33.85,0.0295
676.25,1.25,33.19,0.0301
678.75,1.25,39.82,0.0251
681.25,1.25,41.26,0.0242
683.75,1.25,44.05,0.0227
686.25,1.25,38.06,0.0263
688.75,1.25,34.58,0.0289
691.25,1.25,33.7,0.0297
693.75,1.25,30.06,0.0333
696.25,1.25,29.29,0.0341
698.75,1.25,16.74,0.0597
701.25,1.25,21.79,0.0459
703.75,1.25,23.62,0.0423
706.25,1.25,27.39,0.0365
708.75,1.25,26.93,0.0371
711.25,1.25,27.42,0.0365
713.75,1.25,27.98,0.0357
716.25,1.25,26.39,0.0379
718.75,1.25,30.95,0.0323
721.25,1.25,31.25,0.032
723.75,1.25,31.42,0.0318
726.25,1.25,30.94,0.0323
728.75,1.25,34.3,0.0292
731.25,1.25,33.22,0.0301
733.75,1.25,32.58,0.0307
736.25,1.25,32.15,0.0311
738.75,1.25,30.07,0.0333
741.25,1.25,33.14,0.0302
743.75,1.25,24.29,0.0412
746.25,1.25,26.87,0.0372
748.75,1.25,19.71,0.0507
751.25,1.25,24.57,0.0407
753.75,1.25,17.63,0.0567
756.25,1.25,23.92,0.0418
758.75,1.25,18.25,0.0548
761.25,1.25,19.33,0.0517
763.75,1.25,16.64,0.0601
766.25,1.25,17.94,0.0557
768.75,1.25,17.62,0.0568
771.25,1.25,18.1,0.0552
773.75,1.25,18.36,0.0545
776.25,1.25,18.92,0.0529
778.75,1.25,18.93,0.0528
781.25,1.25,17.54,0.057
783.75,1.25,18.39,0.0544
786.25,1.25,16.96,0.059
788.75,1.25,18.52,0.054
791.25,1.25,15.39,0.065
793.75,1.25,17.27,0.0579
796.25,1.25,14.9,0.0671
798.75,1.25,20.63,0.0485
801.25,1.25,17.51,0.0571
803.75,1.25,24.16,0.0414
806.25,1.25,18.72,0.0534
808.75,1.25,27.93,0.0358
811.25,1.25,22.49,0.0445
813.75,1.25,31.52,0.0317
816.25,1.25,29.5,0.0339
818.75,1.25,40.79,0.0245
821.25,1.25,37.62,0.0266
823.75,1.25,42.16,0.0237
826.25,1.25,49.6,0.0202
828.75,1.25,45.55,0.022
831.25,1.25,57.7,0.0173
833.75,1.25,54.86,0.0182
836.25,1.25,61.44,0.0163
838.75,1.25,59.47,0.0168
841.25,1.25,60.21,0.0166
843.75,1.25,53.47,0.0187
846.25,1.25,34.81,0.0287
848.75,1.25,36.07,0.0277
851.25,1.25,48.63,0.0206
853.75,1.25,54.46,0.0184
856.25,1.25,57.47,0.0174
858.75,1.25,33.44,0.0299
861.25,1.25,55.01,0.0182
863.75,1.25,31.88,0.0314
866.25,1.25,37.36,0.0268
868.75,1.25,23.96,0.0417
871.25,1.25,28.03,0.0357
873.75,1.25,26.41,0.0379
876.25,1.25,29.54,0.0339
878.75,1.25,30.66,0.0326
881.25,1.25,30.58,0.0327
883.75,1.25,34.35,0.0291
886.25,1.25,38.16,0.0262
888.75,1.25,47.94,0.0209
891.25,1.25,33.71,0.0297
893.75,1.25,47.34,0.0211
896.25,1.25,49.22,0.0203
898.75,1.25,53.32,0.0188
901.25,1.25,43.67,0.0229
903.75,1.25,53.78,0.0186
906.25,1.25,45.75,0.0219
908.75,1.25,50.62,0.0198
911.25,1.25,44.31,0.0226
913.75,1.25,45.46,0.022
916.25,1.25,43.19,0.0232
918.75,1.25,43.05,0.0232
921.25,1.25,43.28,0.0231
923.75,1.25,42.24,0.0237
926.25,1.25,40.03,0.025
928.75,1.25,40.67,0.0246
931.25,1.25,40.79,0.0245
933.75,1.25,40.77,0.0245
936.25,1.25,37.7,0.0265
938.75,1.25,35.57,0.0281
941.25,1.25,33.86,0.0295
943.75,1.25,29.5,0.0339
946.25,1.25,28.45,0.0351
948.75,1.25,30.67,0.0326
951.25,1.25,30.85,0.0324
953.75,1.25,30.53,0.0328
956.25,1.25,32.09,0.0312
958.75,1.25,33.42,0.0299
961.25,1.25,30.6,0.0327
963.75,1.25,30.17,0.0331
966.25,1.25,33.22,0.0301
968.75,1.25,30.89,0.0324
971.25,1.25,35.41,0.0282
973.75,1.25,35.39,0.0283
976.25,1.25,36.72,0.0272
978.75,1.25,34.6,0.0289
981.25,1.25,35.79,0.0279
983.75,1.25,32.36,0.0309
986.25,1.25,31.83,0.0314
988.75,1.25,31.74,0.0315
991.25,1.25,33.36,0.03
993.75,1.25,32.6,0.0307
996.25,1.25,32.16,0.0311
998.75,1.25,31.46,0.0318
1001.25,1.25,31.74,0.0315
1003.75,1.25,32.85,0.0304
1006.25,1.25,35.97,0.0278
1008.75,1.25,38.11,0.0262
1011.25,1.25,44.17,0.0226
1013.75,1.25,41.15,0.0243
1016.25,1.25,41.94,0.0238
1018.75,1.25,36.74,0.0272
1021.25,1.25,37.96,0.0263
1023.75,1.25,35.93,0.0278
1026.25,1.25,42.01,0.0238
1028.75,1.25,39.67,0.0252
1031.25,1.25,40.38,0.0248
1033.75,1.25,37.08,0.027
1036.25,1.25,34.43,0.029
1038.75,1.25,34.51,0.029
1041.25,1.25,31.46,0.0318
1043.75,1.25,33.85,0.0295
1046.25,1.25,33.53,0.0298
1048.75,1.25,34.76,0.0288
1051.25,1.25,32.2,0.0311
1053.75,1.25,35.74,0.028
1056.25,1.25,31.94,0.0313
1058.75,1.25,34.46,0.029
1061.25,1.25,32.16,0.0311
1063.75,1.25,34.68,0.0288
1066.25,1.25,30.18,0.0331
1068.75,1.25,36.33,0.0275
1071.25,1.25,36.3,0.0275
1073.75,1.25,39.76,0.0251
1076.25,1.25,36.96,0.0271
1078.75,1.25,38.49,0.026
1081.25,1.25,45.03,0.0222
1083.75,1.25,44.27,0.0226
1086.25,1.25,48.78,0.0205
1088.75,1.25,38.95,0.0257
1091.25,1.25,44.69,0.0224
1093.75,1.25,44.13,0.0227
1096.25,1.25,46.16,0.0217
1098.75,1.25,36.29,0.0276
1101.25,1.25,39.09,0.0256
1103.75,1.25,36.57,0.0273
1106.25,1.25,37.01,0.027
1108.75,1.25,33.88,0.0295
1111.25,1.25,33.62,0.0297
1113.75,1.25,35.22,0.0284
1116.25,1.25,31.6,0.0316
1118.75,1.25,32.51,0.0308
1121.25,1.25,29.63,0.0337
1123.75,1.25,35.42,0.0282
1126.25,1.25,30.39,0.0329
1128.75,1.25,37.17,0.0269
1131.25,1.25,33.04,0.0303
1133.75,1.25,35.89,0.0279
1136.25,1.25,40.88,0.0245
1138.75,1.25,51.69,0.0193
1141.25,1.25,9.14,0.1094
1143.75,1.25,9.23,0.1083
1146.25,1.25,46.13,0.0217
1148.75,1.25,29.26,0.0342
1151.25,1.25,30.36,0.0329
1153.75,1.25,30.94,0.0323
1156.25,1.25,33.45,0.0299
1158.75,1.25,27.8,0.036
1161.25,1.25,33.14,0.0302
1163.75,1.25,32.62,0.0307
1166.25,1.25,37.51,0.0267
1168.75,1.25,39.28,0.0255
1171.25,1.25,40.07,0.025
1173.75,1.25,41.42,0.0241
1176.25,1.25,37.04,0.027
1178.75,1.25,37.01,0.027
1181.25,1.25,35.63,0.0281
1183.75,1.25,35.86,0.0279
1186.25,1.25,28.82,0.0347
1188.75,1.25,31.63,0.0316
1191.25,1.25,29.76,0.0336
1193.75,1.25,31.69,0.0316
1196.25,1.25,25.97,0.0385
1198.75,1.25,33.51,0.0298
1201.25,1.25,21.9,0.0457
1203.75,1.25,14.94,0.0669
1206.25,1.25,13.61,0.0735
1208.75,1.25,23.08,0.0433
1211.25,1.25,39.22,0.0255
1213.75,1.25,32.26,0.031
1216.25,1.25,34.23,0.0292
1218.75,1.25,35.65,0.0281
1221.25,1.25,29.41,0.034
1223.75,1.25,30.91,0.0324
1226.25,1.25,31.4,0.0318
1228.75,1.25,32.49,0.0308
1231.25,1.25,33.46,0.0299
1233.75,1.25,33.46,0.0299
1236.25,1.25,34.81,0.0287
1238.75,1.25,35.09,0.0285
1241.25,1.25,33.81,0.0296
1243.75,1.25,33.28,0.03
1246.25,1.25,33.34,0.03
1248.75,1.25,30.4,0.0329
1251.25,1.25,29.42,0.034
1253.75,1.25,25.8,0.0388
1256.25,1.25,26.19,0.0382
1258.75,1.25,24.11,0.0415
1261.25,1.25,22.67,0.0441
1263.75,1.25,23.58,0.0424
1266.25,1.25,27.23,0.0367
1268.75,1.25,21.78,0.0459
1271.25,1.25,24.91,0.0401
1273.75,1.25,23.92,0.0418
1276.25,1.25,23.81,0.042
1278.75,1.25,23.4,0.0427
1281.25,1.25,26.99,0.037
1283.75,1.25,23.23,0.043
1286.25,1.25,22.79,0.0439
1288.75,1.25,22.53,0.0444
1291.25,1.25,23.82,0.042
1293.75,1.25,21.39,0.0468
1296.25,1.25,22.14,0.0452
1298.75,1.25,22.08,0.0453
1301.25,1.25,22.73,0.044
1303.75,1.25,22.4,0.0446
1306.25,1.25,22.28,0.0449
1308.75,1.25,22.21,0.045
1311.25,1.25,22.38,0.0447
1313.75,1.25,22.48,0.0445
1316.25,1.25,21.9,0.0457
1318.75,1.25,21.82,0.0458
1321.25,1.25,21.56,0.0464
1323.75,1.25,21.5,0.0465
1326.25,1.25,24.04,0.0416
1328.75,1.25,27.5,0.0364
1331.25,1.25,25.72,0.0389
1333.75,1.25,31.8,0.0315
1336.25,1.25,31.68,0.0316
1338.75,1.25,38.99,0.0256
1341.25,1.25,38.11,0.0262
1343.75,1.25,37.7,0.0265
1346.25,1.25,36.5,0.0274
1348.75,1.25,39.08,0.0256
1351.25,1.25,36.01,0.0278
1353.75,1.25,36.36,0.0275
1356.25,1.25,35.5,0.0282
1358.75,1.25,36.69,0.0273
1361.25,1.25,35.76,0.028
1363.75,1.25,36.03,0.0278
1366.25,1.25,33.76,0.0296
1368.75,1.25,32.56,0.0307
1371.25,1.25,30.6,0.0327
1373.75,1.25,30.63,0.0326
1376.25,1.25,27.94,0.0358
1378.75,1.25,28.91,0.0346
1381.25,1.25,28.42,0.0352
1383.75,1.25,26.6,0.0376
1386.25,1.25,24.83,0.0403
1388.75,1.25,24.23,0.0413
1391.25,1.25,20.99,0.0476
1393.75,1.25,23.72,0.0422
1396.25,1.25,23.01,0.0435
1398.75,1.25,19.41,0.0515
1401.25,1.25,25.55,0.0391
1403.75,1.25,22.4,0.0447
1406.25,1.25,28.89,0.0346
1408.75,1.25,28.99,0.0345
1411.25,1.25,38.09,0.0263
1413.75,1.25,37.82,0.0264
1416.25,1.25,41.21,0.0243
1418.75,1.25,41.26,0.0242
1421.25,1.25,47.06,0.0212
1423.75,1.25,46.43,0.0215
1426.25,1.25,42.09,0.0238
1428.75,1.25,42.07,0.0238
1431.25,1.25,42.5,0.0235
1433.75,1.25,39.85,0.0251
1436.25,1.25,38.29,0.0261
1438.75,1.25,38.08,0.0263
1441.25,1.25,37.37,0.0268
1443.75,1.25,37.62,0.0266
1446.25,1.25,41.01,0.0244
1448.75,1.25,40.63,0.0246
1451.25,1.25,38.92,0.0257
1453.75,1.25,40.23,0.0249
1456.25,1.25,39.81,0.0251
1458.75,1.25,39.35,0.0254
1461.25,1.25,36.11,0.0277
1463.75,1.25,30.43,0.0329
1466.25,1.25,28.71,0.0348
1468.75,1.25,23.35,0.0428
1471.25,1.25,23.25,0.043
1473.75,1.25,23.01,0.0435
1476.25,1.25,25.86,0.0387
1478.75,1.25,25.85,0.0387
1481.25,1.25,26.44,0.0378
1483.75,1.25,26.58,0.0376
1486.25,1.25,31.52,0.0317
1488.75,1.25,45.06,0.0222
8.75,3.75,30.56,0.0327
11.25,3.75,34.77,0.0288
13.75,3.75,37.25,0.0268
16.25,3.75,38.2,0.0262
18.75,3.75,40.65,0.0246
21.25,3.75,48.71,0.0205
23.75,3.75,50.92,0.0196
26.25,3.75,51.41,0.0195
28.75,3.75,51.67,0.0194
31.25,3.75,51.65,0.0194
33.75,3.75,50.33,0.0199
36.25,3.75,45.33,0.0221
38.75,3.75,45.23,0.0221
41.25,3.75,46.91,0.0213
43.75,3.75,46.95,0.0213
46.25,3.75,45.36,0.022
48.75,3.75,44.79,0.0223
51.25,3.75,45,0.0222
53.75,3.75,45.01,0.0222
56.25,3.75,45.01,0.0222
58.75,3.75,38.52,0.026
61.25,3.75,38.41,0.026
