X,Elevation,Resistivity,Conductivity
1002.51,203.76,20.21,0.0495
1007.51,203.82,21.54,0.0464
1012.51,203.88,25.29,0.0395
1017.51,203.94,22.47,0.0445
1022.51,204,25.56,0.0391
1027.51,204.06,29.6,0.0338
1032.51,204.12,41.35,0.0242
1037.51,204.18,51.27,0.0195
1042.51,204.24,71.62,0.014
1047.51,204.3,71.59,0.014
1052.51,204.36,86.98,0.0115
1057.51,204.43,103.74,0.009639
1062.51,204.49,89.91,0.0111
1067.51,204.55,107.29,0.009321
1072.51,204.61,104.86,0.009537
1077.51,204.68,103.48,0.009664
1082.51,204.75,109.74,0.009112
1087.51,204.81,106.09,0.009426
1092.51,204.85,88.91,0.0112
1097.51,204.87,99.3,0.0101
1102.51,204.88,92.83,0.0108
1107.51,204.9,86.77,0.0115
1112.51,204.91,96.4,0.0104
1117.51,204.93,98.07,0.0102
1122.51,204.94,79.61,0.0126
1127.51,204.96,86,0.0116
1132.51,204.97,79.18,0.0126
1137.51,204.99,87.43,0.0114
1142.51,205,66.85,0.015
1147.51,205.02,95.72,0.0104
1152.51,205.04,65.74,0.0152
1157.51,205.05,225.48,0.004435
1162.51,205.07,93.7,0.0107
1167.51,205.08,48.3,0.0207
1172.51,205.1,46,0.0217
1177.51,205.11,42.83,0.0233
1182.51,205.13,204.48,0.00489
1187.51,205.15,80.36,0.0124
1192.51,205.18,52.6,0.019
1197.51,205.23,88.43,0.0113
1202.51,205.28,59.51,0.0168
1207.51,205.32,52.63,0.019
1212.51,205.37,53.31,0.0188
1217.51,205.42,52.01,0.0192
1222.51,205.46,62.25,0.0161
1227.51,205.51,51.74,0.0193
1232.51,205.56,65.52,0.0153
1237.51,205.61,52.77,0.019
1242.51,205.65,73.15,0.0137
1247.51,205.7,70.68,0.0141
1252.51,205.75,82.73,0.0121
1257.51,205.79,99.65,0.01
1262.51,205.84,99.96,0.01
1267.51,205.89,85.93,0.0116
1272.51,205.94,82.9,0.0121
1277.51,205.98,87.06,0.0115
1282.51,206.03,82.94,0.0121
1287.51,206.07,86.11,0.0116
1292.51,206.11,79.86,0.0125
1297.51,206.14,83.53,0.012
1302.51,206.17,58.71,0.017
1307.51,206.21,69.61,0.0144
1312.51,206.24,71.31,0.014
1317.51,206.28,79.01,0.0127
1322.51,206.31,80.19,0.0125
1327.51,206.34,76.16,0.0131
1332.51,206.38,75.59,0.0132
1337.51,206.41,64.8,0.0154
1342.51,206.44,119.09,0.008397
1347.51,206.48,98.12,0.0102
1352.51,206.51,63.43,0.0158
1357.51,206.55,76.93,0.013
1362.51,206.58,80.49,0.0124
1367.51,206.61,81.29,0.0123
