X,Elevation,Resistivity,Conductivity
511.25,219.54,53,0.0189
513.75,219.55,33.84,0.0295
516.25,219.55,40.17,0.0249
518.75,219.55,40,0.025
521.25,219.55,38.51,0.026
523.75,219.56,68.02,0.0147
526.25,219.56,65.64,0.0152
528.75,219.56,76.58,0.0131
531.25,219.57,61.9,0.0162
533.75,219.57,58.03,0.0172
536.25,219.57,58.25,0.0172
538.75,219.57,43.69,0.0229
541.25,219.57,44.19,0.0226
543.75,219.58,32.96,0.0303
546.25,219.58,38.82,0.0258
548.75,219.58,35.78,0.028
551.25,219.58,35.34,0.0283
553.75,219.59,47.08,0.0212
556.25,219.59,46.44,0.0215
558.75,219.59,53.58,0.0187
561.25,219.59,43.09,0.0232
563.75,219.6,45.79,0.0218
566.25,219.6,39.78,0.0251
568.75,219.6,41.01,0.0244
571.25,219.6,40.93,0.0244
573.75,219.61,38.56,0.0259
576.25,219.61,45.14,0.0222
578.75,219.61,46.28,0.0216
581.25,219.61,46.34,0.0216
583.75,219.62,47.6,0.021
586.25,219.62,47.94,0.0209
588.75,219.62,48.17,0.0208
591.25,219.62,47.99,0.0208
593.75,219.63,53.93,0.0185
13.75,216.56,33.16,0.0302
16.25,216.56,36.21,0.0276
18.75,216.56,43.97,0.0227
21.25,216.57,43.96,0.0227
23.75,216.57,43.78,0.0228
26.25,216.57,42.08,0.0238
28.75,216.57,40.07,0.025
31.25,216.58,39.65,0.0252
33.75,216.58,39.53,0.0253
36.25,216.58,39.56,0.0253
38.75,216.58,39.71,0.0252
41.25,216.59,39.29,0.0255
43.75,216.59,36.52,0.0274
46.25,216.59,36.4,0.0275
48.75,216.59,36.47,0.0274
51.25,216.59,36.61,0.0273
53.75,216.6,36.66,0.0273
56.25,216.6,31.28,0.032
58.75,216.6,30.07,0.0333
61.25,216.6,30.02,0.0333
63.75,216.61,34.12,0.0293
66.25,216.61,34.18,0.0293
68.75,216.61,36.76,0.0272
71.25,216.61,36.78,0.0272
73.75,216.62,37.13,0.0269
76.25,216.62,37.5,0.0267
78.75,216.62,37.52,0.0267
81.25,216.62,33.4,0.0299
83.75,216.63,32.66,0.0306
86.25,216.63,32.62,0.0307
88.75,216.63,36.15,0.0277
91.25,216.63,38.15,0.0262
93.75,216.64,37.45,0.0267
96.25,216.64,36.89,0.0271
98.75,216.64,39.38,0.0254
101.25,216.64,39.6,0.0253
103.75,216.65,36.81,0.0272
106.25,216.65,34.53,0.029
108.75,216.65,34.56,0.0289
111.25,216.65,34.63,0.0289
113.75,216.66,33.48,0.0299
116.25,216.66,33.04,0.0303
118.75,216.66,33.1,0.0302
121.25,216.66,33.12,0.0302
123.75,216.67,32.52,0.0308
126.25,216.67,31.78,0.0315
128.75,216.67,31.75,0.0315
