X,Elevation,Resistivity,Conductivity
508.75,220.38,22.15,0.0451
511.25,220.38,22.42,0.0446
513.75,220.39,22.12,0.0452
516.25,220.39,22.61,0.0442
518.75,220.4,24.64,0.0406
521.25,220.4,26.42,0.0379
523.75,220.41,26.46,0.0378
526.25,220.41,30.7,0.0326
528.75,220.42,30.04,0.0333
531.25,220.42,29.64,0.0337
533.75,220.43,28.44,0.0352
536.25,220.43,35.81,0.0279
538.75,220.44,27.07,0.0369
541.25,220.44,43.35,0.0231
543.75,220.44,26.07,0.0384
546.25,220.45,31.04,0.0322
548.75,220.45,33.56,0.0298
551.25,220.46,34.08,0.0293
553.75,220.46,32.76,0.0305
556.25,220.47,32.53,0.0307
558.75,220.47,32.52,0.0308
561.25,220.48,32.54,0.0307
563.75,220.48,35.32,0.0283
566.25,220.49,32.45,0.0308
568.75,220.49,32.47,0.0308
571.25,220.5,30.23,0.0331
573.75,220.5,30.51,0.0328
576.25,220.51,25.8,0.0388
578.75,220.51,26.03,0.0384
581.25,220.51,26.91,0.0372
583.75,220.52,27.12,0.0369
586.25,220.52,29.64,0.0337
588.75,220.53,29.82,0.0335
591.25,220.53,29.81,0.0335
593.75,220.54,29.08,0.0344
596.25,220.54,25.24,0.0396
598.75,220.55,25.23,0.0396
601.25,220.55,24.68,0.0405
603.75,220.56,18.06,0.0554
606.25,220.56,17.45,0.0573
608.75,220.57,23.49,0.0426
611.25,220.57,19.31,0.0518
613.75,220.58,19.78,0.0506
616.25,220.58,18.96,0.0527
618.75,220.58,20.09,0.0498
621.25,220.59,19.73,0.0507
623.75,220.59,19.66,0.0509
626.25,220.6,21.31,0.0469
628.75,220.6,21.15,0.0473
631.25,220.61,24.75,0.0404
633.75,220.61,25.75,0.0388
636.25,220.62,15.43,0.0648
638.75,220.62,18.79,0.0532
641.25,220.63,16.4,0.061
643.75,220.63,16.29,0.0614
646.25,220.64,17.16,0.0583
648.75,220.64,17.62,0.0568
651.25,220.64,20.64,0.0484
653.75,220.65,20.7,0.0483
656.25,220.65,23.68,0.0422
658.75,220.66,24.05,0.0416
661.25,220.66,28.13,0.0355
663.75,220.67,23.84,0.0419
666.25,220.67,32.61,0.0307
668.75,220.68,26.59,0.0376
671.25,220.68,33.49,0.0299
673.75,220.69,31.14,0.0321
676.25,220.69,37.3,0.0268
678.75,220.7,28.18,0.0355
681.25,220.7,26.75,0.0374
683.75,220.7,26.52,0.0377
686.25,220.71,20.96,0.0477
688.75,220.71,10.63,0.094
8.76,216.95,35.18,0.0284
11.26,216.95,33.63,0.0297
13.76,216.96,33.56,0.0298
16.26,216.96,33.65,0.0297
18.76,216.97,33.92,0.0295
21.26,216.97,36.88,0.0271
23.76,216.98,37.06,0.027
26.26,216.98,37.08,0.027
28.76,216.99,37.12,0.0269
31.26,216.99,37.12,0.0269
33.76,217,37.22,0.0269
36.26,217,38.02,0.0263
38.76,217.01,40.73,0.0246
41.26,217.01,40.91,0.0244
43.76,217.01,40.92,0.0244
46.26,217.02,40.88,0.0245
48.76,217.02,41.99,0.0238
51.26,217.03,42.65,0.0234
53.76,217.03,43.62,0.0229
56.26,217.04,43.9,0.0228
58.76,217.04,45.25,0.0221
61.26,217.05,45.33,0.0221
63.76,217.05,45.31,0.0221
66.26,217.06,45.23,0.0221
68.76,217.06,44.53,0.0225
71.26,217.07,38.13,0.0262
73.76,217.07,34.44,0.029
76.26,217.08,34.37,0.0291
78.76,217.08,39.77,0.0251
81.26,217.08,40.39,0.0248
83.76,217.09,40.41,0.0247
86.26,217.09,38.67,0.0259
88.76,217.1,27.13,0.0369
91.26,217.1,29.48,0.0339
93.76,217.11,39.53,0.0253
96.26,217.11,34.21,0.0292
98.76,217.12,31.88,0.0314
101.26,217.12,31.26,0.032
103.76,217.13,30.88,0.0324
106.26,217.13,31.33,0.0319
108.76,217.14,32.25,0.031
111.26,217.14,34.1,0.0293
113.76,217.14,35.48,0.0282
116.26,217.15,37.4,0.0267
118.76,217.15,41.13,0.0243
121.26,217.16,41.13,0.0243
123.76,217.16,40.54,0.0247
126.26,217.17,40.06,0.025
128.76,217.17,40.21,0.0249
131.26,217.18,41.23,0.0243
133.76,217.18,41.2,0.0243
136.26,217.19,41.08,0.0243
138.76,217.19,40.86,0.0245
141.26,217.2,38.31,0.0261
143.76,217.2,38.11,0.0262
146.26,217.21,38.13,0.0262
148.76,217.21,40.01,0.025
151.26,217.21,41.24,0.0242
153.76,217.22,41.55,0.0241
156.26,217.22,42.55,0.0235
158.76,217.23,43.81,0.0228
161.26,217.23,43.35,0.0231
163.76,217.24,34.89,0.0287
166.26,217.24,32.16,0.0311
168.76,217.25,32.09,0.0312
171.26,217.25,32.12,0.0311
173.76,217.26,33.43,0.0299
176.26,217.26,33.91,0.0295
178.76,217.27,26.89,0.0372
181.26,217.27,26.74,0.0374
183.76,217.28,32.13,0.0311
