X,Elevation,Resistivity,Conductivity
6.25,232.82,25.11,0.0398
8.75,232.83,21.37,0.0468
11.25,232.84,24.06,0.0416
13.75,232.86,23.23,0.043
16.25,232.87,28.5,0.0351
18.75,232.88,22.93,0.0436
21.25,232.9,23.41,0.0427
23.75,232.91,22.87,0.0437
26.25,232.92,20.75,0.0482
28.75,232.94,21.25,0.0471
31.25,232.95,21.56,0.0464
33.75,232.96,23.3,0.0429
36.25,232.98,22.41,0.0446
38.75,232.99,23.17,0.0432
41.25,233,20.48,0.0488
43.75,233.02,22.18,0.0451
46.25,233.03,19.45,0.0514
48.75,233.04,19.77,0.0506
51.25,233.06,18.25,0.0548
53.75,233.07,20,0.05
56.25,233.08,19.15,0.0522
58.75,233.1,19.26,0.0519
61.25,233.11,18.48,0.0541
63.75,233.12,19.89,0.0503
66.25,233.13,20.3,0.0493
68.75,233.15,20.38,0.0491
71.25,233.16,19.38,0.0516
73.75,233.17,19.46,0.0514
76.25,233.19,20.11,0.0497
78.75,233.2,19.71,0.0507
81.25,233.21,20.31,0.0492
83.75,233.23,20.58,0.0486
86.25,233.24,20.57,0.0486
88.75,233.25,20.71,0.0483
91.25,233.26,21.04,0.0475
93.75,233.28,21.32,0.0469
96.25,233.29,22.03,0.0454
98.75,233.3,19.41,0.0515
101.25,233.31,20.51,0.0488
103.75,233.33,20.32,0.0492
106.25,233.34,23.71,0.0422
108.75,233.35,18.79,0.0532
111.25,233.36,21.64,0.0462
113.75,233.37,21.77,0.0459
116.25,233.39,20.66,0.0484
118.75,233.4,20.61,0.0485
121.25,233.41,24.47,0.0409
123.75,233.42,21.32,0.0469
126.25,233.43,25.12,0.0398
128.75,233.45,19.98,0.05
131.25,233.46,21.75,0.046
133.75,233.47,17.56,0.057
136.25,233.48,17.8,0.0562
138.75,233.49,18.52,0.054
141.25,233.51,23.25,0.043
143.75,233.52,25.06,0.0399
146.25,233.53,29.7,0.0337
148.75,233.54,34.74,0.0288
151.25,233.55,35.37,0.0283
153.75,233.56,35.79,0.0279
156.25,233.58,32.56,0.0307
158.75,233.59,32.52,0.0307
161.25,233.6,31.63,0.0316
163.75,233.61,32.78,0.0305
166.25,233.62,31.47,0.0318
168.75,233.63,34.25,0.0292
171.25,233.65,34.52,0.029
173.75,233.66,34.44,0.029
176.25,233.67,37.92,0.0264
178.75,233.68,30.37,0.0329
181.25,233.69,30.22,0.0331
183.75,233.7,24.65,0.0406
186.25,233.72,22.91,0.0436
188.75,233.73,20.25,0.0494
191.25,233.74,21.95,0.0456
193.75,233.75,22.8,0.0439
196.25,233.76,23.99,0.0417
198.75,233.77,21.5,0.0465
201.25,233.79,23.66,0.0423
203.75,233.82,23.62,0.0423
206.25,233.85,22.37,0.0447
208.75,233.88,22.53,0.0444
211.25,233.91,22.45,0.0446
213.75,233.94,23.11,0.0433
216.25,233.97,22.06,0.0453
218.75,234,22.05,0.0453
221.25,234.02,22.33,0.0448
223.75,234.05,23.97,0.0417
226.25,234.08,22.87,0.0437
228.75,234.11,23.56,0.0425
231.25,234.14,22.83,0.0438
233.75,234.17,23.14,0.0432
236.25,234.2,22.77,0.0439
238.75,234.22,22.8,0.0439
241.25,234.25,22.86,0.0438
243.75,234.28,20.41,0.049
246.25,234.31,21.42,0.0467
248.75,234.33,24.77,0.0404
251.25,234.36,27.23,0.0367
253.75,234.38,27.22,0.0367
256.25,234.41,28.48,0.0351
258.75,234.44,25.38,0.0394
261.25,234.46,30.03,0.0333
263.75,234.49,23.12,0.0433
266.25,234.51,26.64,0.0375
268.75,234.54,17.71,0.0565
271.25,234.56,21.56,0.0464
273.75,234.58,24,0.0417
276.25,234.61,29.46,0.0339
278.75,234.63,32.33,0.0309
281.25,234.65,44.69,0.0224
283.75,234.67,40.21,0.0249
286.25,234.69,44.27,0.0226
288.75,234.72,43.58,0.0229
291.25,234.74,39.4,0.0254
293.75,234.76,32.49,0.0308
296.25,234.78,31.27,0.032
298.75,234.79,21.99,0.0455
301.25,234.79,25.8,0.0388
303.75,234.79,28.28,0.0354
306.25,234.79,25.33,0.0395
308.75,234.79,25.92,0.0386
311.25,234.79,26.92,0.0372
313.75,234.79,29.56,0.0338
316.25,234.79,27.61,0.0362
318.75,234.79,29.06,0.0344
321.25,234.79,26.19,0.0382
323.75,234.78,28.08,0.0356
326.25,234.78,27.44,0.0364
328.75,234.78,28.67,0.0349
331.25,234.78,31.33,0.0319
333.75,234.78,33.32,0.03
336.25,234.78,32.4,0.0309
338.75,234.78,34,0.0294
341.25,234.78,33.87,0.0295
343.75,234.78,34.24,0.0292
346.25,234.78,35.02,0.0286
348.75,234.78,32.42,0.0308
351.25,234.78,36.49,0.0274
353.75,234.78,39.07,0.0256
356.25,234.78,38.3,0.0261
358.75,234.78,39.24,0.0255
361.25,234.78,39.19,0.0255
363.75,234.77,40.71,0.0246
366.25,234.77,46.81,0.0214
368.75,234.77,46.8,0.0214
371.25,234.77,46.41,0.0215
373.75,234.77,46.42,0.0215
376.25,234.77,37.93,0.0264
378.75,234.77,35.7,0.028
381.25,234.77,34.97,0.0286
383.75,234.77,36.98,0.027
386.25,234.77,38.69,0.0258
388.75,234.77,36.57,0.0273
391.25,234.77,38.02,0.0263
393.75,234.77,40.79,0.0245
396.25,234.77,38.65,0.0259
398.75,234.76,23.26,0.043
401.25,234.76,26.17,0.0382
403.75,234.74,36.1,0.0277
406.25,234.73,35.86,0.0279
408.75,234.72,35.06,0.0285
411.25,234.71,34.11,0.0293
413.75,234.7,39.11,0.0256
416.25,234.68,39.22,0.0255
418.75,234.67,39.55,0.0253
421.25,234.66,35.36,0.0283
423.75,234.64,41.75,0.024
426.25,234.63,42.46,0.0236
428.75,234.62,41.04,0.0244
431.25,234.6,37.34,0.0268
433.75,234.59,37.1,0.027
436.25,234.58,32.81,0.0305
438.75,234.56,32.8,0.0305
441.25,234.55,32.08,0.0312
443.75,234.54,43.99,0.0227
446.25,234.52,46.5,0.0215
448.75,234.51,48.21,0.0207
451.25,234.49,48.71,0.0205
453.75,234.48,51.85,0.0193
456.25,234.47,50.06,0.02
458.75,234.45,50.08,0.02
461.25,234.44,51.04,0.0196
463.75,234.42,44.78,0.0223
466.25,234.41,53.32,0.0188
468.75,234.39,45.49,0.022
471.25,234.38,53.47,0.0187
473.75,234.36,50.34,0.0199
476.25,234.35,50.51,0.0198
478.75,234.33,39.87,0.0251
481.25,234.32,43.05,0.0232
483.75,234.3,37.54,0.0266
486.25,234.29,43.19,0.0232
488.75,234.27,34.54,0.029
491.25,234.26,33.61,0.0298
493.75,234.24,35.77,0.028
496.25,234.23,35.69,0.028
498.75,234.21,34.92,0.0286
501.25,234.19,33.38,0.03
503.75,234.18,33.39,0.03
506.25,234.17,29.33,0.0341
508.75,234.16,29.8,0.0336
511.25,234.15,29.58,0.0338
513.75,234.14,33.64,0.0297
516.25,234.13,32.6,0.0307
518.75,234.12,37.36,0.0268
