X,Elevation,Resistivity,Conductivity
232.49,220.03,25.86,0.0387
237.49,220.08,25.81,0.0387
242.49,220.12,25.82,0.0387
247.49,220.17,30.09,0.0332
252.49,220.21,31.92,0.0313
257.49,220.26,32.36,0.0309
262.49,220.31,33.37,0.03
267.49,220.35,33.58,0.0298
272.49,220.4,35.37,0.0283
277.49,220.44,35.82,0.0279
282.49,220.49,35.91,0.0278
287.49,220.53,36.01,0.0278
292.49,220.58,36.89,0.0271
297.49,220.63,36.99,0.027
302.49,220.65,37.08,0.027
307.49,220.65,37.07,0.027
312.49,220.65,36.75,0.0272
317.49,220.65,36.7,0.0272
322.49,220.65,36.71,0.0272
327.49,220.65,36.99,0.027
332.49,220.65,37.91,0.0264
337.49,220.65,38.33,0.0261
342.49,220.65,38.52,0.026
347.49,220.65,38.59,0.0259
352.49,220.65,38.7,0.0258
357.49,220.65,39.72,0.0252
362.49,220.65,39.77,0.0251
367.49,220.65,39.82,0.0251
372.49,220.65,39.83,0.0251
377.49,220.65,39.84,0.0251
382.49,220.65,39.87,0.0251
387.49,220.65,39.79,0.0251
392.49,220.65,39.82,0.0251
397.49,220.65,39.43,0.0254
402.49,220.62,38.59,0.0259
407.49,220.55,36.37,0.0275
412.49,220.47,36.31,0.0275
417.49,220.4,35.8,0.0279
422.49,220.32,35.83,0.0279
427.49,220.24,35.82,0.0279
432.49,220.17,35.78,0.0279
437.49,220.09,35.73,0.028
442.49,220.01,35.16,0.0284
447.49,219.94,35.17,0.0284
452.49,219.86,35.25,0.0284
457.49,219.78,36.3,0.0275
462.49,219.71,36.57,0.0273
467.49,219.63,37.97,0.0263
472.49,219.55,38.28,0.0261
477.49,219.48,38.4,0.026
482.49,219.4,38.45,0.026
487.49,219.33,38.55,0.0259
492.49,219.25,39.51,0.0253
497.49,219.18,39.58,0.0253
502.49,219.17,39.62,0.0252
507.49,219.2,34,0.0294
512.49,219.23,33.96,0.0294
517.49,219.26,31.89,0.0314
522.49,219.29,30.82,0.0324
527.49,219.32,34.67,0.0288
532.49,219.35,34.85,0.0287
537.49,219.38,44.04,0.0227
542.49,219.41,44.63,0.0224
547.49,219.44,46.02,0.0217
552.49,219.47,45.53,0.022
557.49,219.5,43.43,0.023
562.49,219.53,36.59,0.0273
567.49,219.56,36.21,0.0276
572.49,219.59,36.44,0.0274
577.49,219.62,36.94,0.0271
582.49,219.65,36.98,0.027
587.49,219.68,32.82,0.0305
592.49,219.71,32.66,0.0306
597.49,219.74,33.36,0.03
602.49,219.76,33.85,0.0295
607.49,219.77,35.75,0.028
612.49,219.79,36.14,0.0277
617.49,219.8,36.08,0.0277
622.49,219.82,35.86,0.0279
627.49,219.83,35.74,0.028
632.49,219.85,35.73,0.028
637.49,219.86,35.61,0.0281
642.49,219.88,35.64,0.0281
647.49,219.89,35.69,0.028
652.49,219.91,35.91,0.0278
657.49,219.92,35.95,0.0278
662.49,219.94,35.9,0.0279
667.49,219.95,33.67,0.0297
672.49,219.97,33.47,0.0299
677.49,219.98,33.34,0.03
682.49,220,33.42,0.0299
687.49,220.01,33.53,0.0298
692.49,220.03,35.06,0.0285
697.49,220.04,36.11,0.0277
702.49,220.06,36.35,0.0275
707.49,220.07,36.49,0.0274
712.49,220.09,33.95,0.0295
717.49,220.1,33.97,0.0294
722.49,220.12,34.65,0.0289
727.49,220.13,34.7,0.0288
732.49,220.15,34.27,0.0292
737.49,220.16,34.85,0.0287
