X,Elevation,Resistivity,Conductivity
437.5,201.45,46.49,0.0215
442.5,201.45,48.34,0.0207
447.5,201.45,48.56,0.0206
452.5,201.45,51.67,0.0194
457.5,201.45,52.27,0.0191
462.5,201.45,52.24,0.0191
467.5,201.45,62.12,0.0161
472.5,201.45,61.58,0.0162
477.5,201.45,66.47,0.015
482.5,201.45,66.5,0.015
487.5,201.44,62.03,0.0161
492.5,201.42,60.24,0.0166
497.5,201.39,59.35,0.0168
502.5,201.36,59.33,0.0169
507.5,201.34,58.69,0.017
512.5,201.31,54.77,0.0183
517.5,201.29,53.33,0.0188
522.5,201.26,53.18,0.0188
527.5,201.23,55.58,0.018
532.5,201.21,57.17,0.0175
537.5,201.18,57.32,0.0174
542.5,201.16,57.03,0.0175
547.5,201.13,59.09,0.0169
552.5,201.1,59.25,0.0169
557.5,201.08,60.08,0.0166
562.5,201.05,60.16,0.0166
567.5,201.02,63.64,0.0157
572.5,201,59.43,0.0168
577.5,200.97,55.33,0.0181
582.5,200.95,54.94,0.0182
17.51,198.11,74.54,0.0134
22.51,198.12,71.47,0.014
27.51,198.14,71.36,0.014
32.51,198.15,66.29,0.0151
37.51,198.17,52.37,0.0191
42.51,198.19,50.63,0.0198
47.51,198.2,50.39,0.0198
52.51,198.22,50.21,0.0199
57.51,198.24,43.28,0.0231
62.51,198.25,38.27,0.0261
67.51,198.27,38.25,0.0261
72.51,198.28,38.8,0.0258
77.51,198.3,38.84,0.0257
82.51,198.32,39.1,0.0256
87.51,198.33,39.34,0.0254
92.51,198.35,40.9,0.0244
97.51,198.36,41.21,0.0243
102.51,198.38,55.87,0.0179
107.51,198.39,79.58,0.0126
112.51,198.41,89.78,0.0111
117.51,198.42,78.22,0.0128
122.51,198.44,77.52,0.0129
127.51,198.45,80.5,0.0124
132.51,198.47,83.47,0.012
137.51,198.48,96.3,0.0104
142.51,198.5,106.84,0.00936
147.51,198.51,107.12,0.009335
152.51,198.53,107.34,0.009316
157.51,198.54,95.91,0.0104
162.51,198.56,95.8,0.0104
167.51,198.57,94.29,0.0106
172.51,198.59,94.13,0.0106
177.51,198.6,97.09,0.0103
182.51,198.62,99.77,0.01
187.51,198.63,100.07,0.009993
192.51,198.64,110.83,0.009023
197.51,198.65,89.88,0.0111
202.51,198.65,91.58,0.0109
207.51,198.65,104.03,0.009613
212.51,198.65,102.81,0.009727
217.51,198.65,97.15,0.0103
222.51,198.65,97.12,0.0103
227.51,198.65,98.06,0.0102
232.51,198.65,95.69,0.0105
237.51,198.65,95.67,0.0105
242.51,198.65,96.46,0.0104
247.51,198.65,98.45,0.0102
252.51,198.65,86.09,0.0116
257.51,198.65,80.99,0.0123
262.51,198.65,80.95,0.0124
267.51,198.65,88.11,0.0113
272.51,198.65,91.53,0.0109
277.51,198.65,93.3,0.0107
282.51,198.65,93.77,0.0107
287.51,198.65,95.65,0.0105
292.51,198.65,95.64,0.0105
297.51,198.66,85.11,0.0117
302.51,198.68,84.9,0.0118
307.51,198.69,84.68,0.0118
312.51,198.71,79.99,0.0125
317.51,198.72,74.8,0.0134
322.51,198.74,74.87,0.0134
327.51,198.75,75.73,0.0132
332.51,198.77,75.88,0.0132
337.51,198.78,75.95,0.0132
342.51,198.8,75.93,0.0132
347.51,198.81,75.98,0.0132
352.51,198.83,75.93,0.0132
357.51,198.84,72.15,0.0139
362.51,198.86,72.03,0.0139
367.51,198.87,71.95,0.0139
372.51,198.89,71.99,0.0139
377.51,198.9,72.21,0.0138
382.51,198.92,72.47,0.0138
387.51,198.93,73.79,0.0136
392.51,198.95,88.71,0.0113
397.51,198.95,90.48,0.0111
402.51,198.95,90.8,0.011
407.51,198.95,91.88,0.0109
412.51,198.95,91.81,0.0109
417.51,198.95,88.6,0.0113
422.51,198.95,87.23,0.0115
427.51,198.95,86.07,0.0116
432.51,198.95,82.93,0.0121
437.51,198.95,82.46,0.0121
442.51,198.95,82.13,0.0122
447.51,198.95,80.68,0.0124
452.51,198.95,79.24,0.0126
457.51,198.95,76.73,0.013
462.51,198.95,75.71,0.0132
467.51,198.95,75.6,0.0132
472.51,198.95,75.68,0.0132
477.51,198.95,79.09,0.0126
482.51,198.95,79.18,0.0126
487.51,198.94,78.89,0.0127
492.51,198.92,78.42,0.0128
497.51,198.89,74.27,0.0135
502.51,198.86,73.49,0.0136
507.51,198.84,71.87,0.0139
512.51,198.81,62.39,0.016
517.51,198.79,60.86,0.0164
522.51,198.76,60.92,0.0164
527.51,198.73,61.52,0.0163
532.51,198.71,62.31,0.016
537.51,198.68,62.65,0.016
542.51,198.66,63.21,0.0158
547.51,198.63,64.93,0.0154
552.51,198.6,66.97,0.0149
557.51,198.58,69.38,0.0144
562.51,198.55,70.22,0.0142
567.51,198.52,71.94,0.0139
572.51,198.5,72.33,0.0138
577.51,198.47,72.3,0.0138
582.51,198.45,72.32,0.0138
22.51,195.62,74.57,0.0134
27.51,195.64,74.54,0.0134
32.51,195.65,73.76,0.0136
37.51,195.67,67.74,0.0148
42.51,195.69,64.29,0.0156
47.51,195.7,62.91,0.0159
52.51,195.72,61.42,0.0163
57.51,195.74,49.38,0.0203
62.51,195.75,41.85,0.0239
67.51,195.77,41.58,0.0241
72.51,195.78,41.59,0.024
77.51,195.8,41.86,0.0239
82.51,195.82,45.35,0.0221
87.51,195.83,46.54,0.0215
92.51,195.85,48.02,0.0208
97.51,195.86,48.71,0.0205
102.51,195.88,56.06,0.0178
107.51,195.89,76.6,0.0131
112.51,195.91,80.26,0.0125
117.51,195.92,79.62,0.0126
122.51,195.94,79.4,0.0126
127.51,195.95,80.59,0.0124
132.51,195.97,93.52,0.0107
137.51,195.98,111.42,0.008975
142.51,196,112.53,0.008887
147.51,196.01,112.49,0.00889
152.51,196.03,111.29,0.008986
157.51,196.04,103.39,0.009672
162.51,196.06,96.01,0.0104
167.51,196.07,92.22,0.0108
172.51,196.09,92.05,0.0109
177.51,196.1,93.63,0.0107
182.51,196.12,98.71,0.0101
187.51,196.13,107.3,0.00932
192.51,196.14,110.03,0.009088
197.51,196.15,105.68,0.009463
202.51,196.15,105.47,0.009481
207.51,196.15,105.34,0.009493
212.51,196.15,105.24,0.009502
217.51,196.15,101.64,0.009839
222.51,196.15,99.72,0.01
227.51,196.15,98.17,0.0102
232.51,196.15,97.5,0.0103
237.51,196.15,97.42,0.0103
242.51,196.15,97.52,0.0103
247.51,196.15,98.58,0.0101
252.51,196.15,99.26,0.0101
257.51,196.15,99.7,0.01
