X,Elevation,Resistivity,Conductivity
443.75,201.53,23.11,0.0433
446.25,201.53,26.25,0.0381
448.75,201.53,23.03,0.0434
451.25,201.53,28.98,0.0345
453.75,201.53,28.95,0.0345
456.25,201.53,29.17,0.0343
458.75,201.52,29.17,0.0343
461.25,201.52,27.72,0.0361
463.75,201.52,26.75,0.0374
466.25,201.52,25.83,0.0387
468.75,201.52,23.92,0.0418
471.25,201.52,19.61,0.051
473.75,201.52,24.53,0.0408
476.25,201.52,25.11,0.0398
478.75,201.52,21.43,0.0467
481.25,201.51,24.71,0.0405
483.75,201.51,25.12,0.0398
486.25,201.51,25.52,0.0392
488.75,201.51,21.88,0.0457
491.25,201.51,19.16,0.0522
493.75,201.51,25.92,0.0386
496.25,201.5,23.84,0.0419
498.75,201.49,21.7,0.0461
501.25,201.47,23.47,0.0426
503.75,201.44,24.83,0.0403
506.25,201.41,17.91,0.0558
508.75,201.37,26.66,0.0375
511.25,201.34,26.73,0.0374
513.75,201.3,25.58,0.0391
516.25,201.26,26.22,0.0381
518.75,201.23,27.88,0.0359
521.25,201.19,26.46,0.0378
523.75,201.15,26.57,0.0376
526.25,201.11,21.65,0.0462
528.75,201.08,25.28,0.0396
531.25,201.04,24.79,0.0403
533.75,201,20.87,0.0479
536.25,200.96,22.94,0.0436
538.75,200.92,25.03,0.04
541.25,200.89,33.08,0.0302
543.75,200.85,19.47,0.0514
546.25,200.81,26.95,0.0371
548.75,200.77,30.92,0.0323
551.25,200.73,32.27,0.031
553.75,200.7,26.91,0.0372
556.25,200.66,22.81,0.0438
558.75,200.62,26.5,0.0377
561.25,200.58,31.54,0.0317
563.75,200.55,25.62,0.039
566.25,200.51,26.11,0.0383
568.75,200.47,30.67,0.0326
571.25,200.43,32.6,0.0307
573.75,200.39,24.01,0.0416
576.25,200.36,26,0.0385
578.75,200.32,26.02,0.0384
581.25,200.28,25.87,0.0387
583.75,200.24,26.89,0.0372
586.25,200.2,22.33,0.0448
588.75,200.17,23.75,0.0421
591.25,200.13,22.82,0.0438
593.75,200.09,22.89,0.0437
596.25,200.05,22.42,0.0446
598.75,200.02,26.82,0.0373
601.25,199.98,21.31,0.0469
603.75,199.94,28.89,0.0346
606.25,199.9,23.1,0.0433
608.75,199.86,22.13,0.0452
611.25,199.83,30.62,0.0327
613.75,199.79,28.84,0.0347
616.25,199.75,31.38,0.0319
618.75,199.71,31.68,0.0316
621.25,199.68,26.92,0.0372
623.75,199.64,27.26,0.0367
626.25,199.6,24.38,0.041
628.75,199.56,27.05,0.037
631.25,199.52,18.21,0.0549
633.75,199.49,19.67,0.0508
636.25,199.45,19.57,0.0511
638.75,199.41,19.57,0.0511
641.25,199.37,19.2,0.0521
643.75,199.34,16.96,0.059
646.25,199.3,26.16,0.0382
648.75,199.26,14.56,0.0687
651.25,199.22,38.94,0.0257
653.75,199.19,36.1,0.0277
656.25,199.15,111.43,0.008974
658.75,199.11,74.66,0.0134
661.25,199.07,87.23,0.0115
663.75,199.04,94.48,0.0106
666.25,199,67.52,0.0148
668.75,198.96,56.7,0.0176
671.25,198.93,71.48,0.014
673.75,198.89,72.72,0.0138
676.25,198.85,29.92,0.0334
678.75,198.81,33.66,0.0297
681.25,198.78,40,0.025
683.75,198.74,40.2,0.0249
686.25,198.71,40.48,0.0247
688.75,198.67,40.74,0.0245
691.25,198.63,40.82,0.0245
693.75,198.6,40.63,0.0246
696.25,198.57,40.37,0.0248
698.75,198.54,40.1,0.0249
701.25,198.52,39.87,0.0251
703.75,198.51,39.73,0.0252
706.25,198.51,39.61,0.0252
708.75,198.52,39.22,0.0255
711.25,198.52,37.93,0.0264
713.75,198.54,34.51,0.029
716.25,198.57,30,0.0333
718.75,198.63,27.86,0.0359
721.25,198.7,35.85,0.0279
723.75,198.77,31.39,0.0319
726.25,198.84,29.15,0.0343
728.75,198.92,29.52,0.0339
731.25,198.99,29.22,0.0342
733.75,199.06,31.21,0.032
736.25,199.14,24.46,0.0409
738.75,199.21,40.47,0.0247
741.25,199.29,49.3,0.0203
743.75,199.36,49.77,0.0201
746.25,199.43,24.2,0.0413
748.75,199.51,22.72,0.044
751.25,199.58,22.51,0.0444
753.75,199.66,28.85,0.0347
756.25,199.73,23.92,0.0418
758.75,199.81,26.98,0.0371
761.25,199.88,38.87,0.0257
763.75,199.96,42.65,0.0234
766.25,200.03,42.99,0.0233
768.75,200.11,19.15,0.0522
771.25,200.18,47.06,0.0212
773.75,200.26,41.34,0.0242
776.25,200.33,34.76,0.0288
778.75,200.41,34,0.0294
781.25,200.48,38.71,0.0258
783.75,200.56,36.73,0.0272
786.25,200.63,41.88,0.0239
788.75,200.71,32.44,0.0308
791.25,200.78,57.25,0.0175
793.75,200.86,24.43,0.0409
796.25,200.93,28.78,0.0347
798.75,201.01,28.69,0.0348
801.25,201.08,33.14,0.0302
803.75,201.15,32.17,0.0311
806.25,201.23,30.19,0.0331
808.75,201.3,30.69,0.0326
811.25,201.37,38.4,0.026
813.75,201.43,39,0.0256
816.25,201.47,34.43,0.029
818.75,201.5,39.99,0.025
821.25,201.52,35.4,0.0282
823.75,201.54,36.06,0.0277
826.25,201.56,32.09,0.0312
828.75,201.58,32.05,0.0312
831.25,201.59,35.18,0.0284
833.75,201.61,29.52,0.0339
836.25,201.63,29.93,0.0334
838.75,201.64,33.99,0.0294
