X,Elevation,Resistivity,Conductivity
6.25,227.18,78.57,0.0127
8.75,227.17,43.94,0.0228
11.25,227.16,30.13,0.0332
13.75,227.15,38.19,0.0262
16.25,227.14,31.67,0.0316
18.75,227.13,32.07,0.0312
21.25,227.12,31.73,0.0315
23.75,227.11,31.4,0.0318
26.25,227.1,25.6,0.0391
28.75,227.09,27.48,0.0364
31.25,227.08,24.22,0.0413
33.75,227.07,26.6,0.0376
36.25,227.06,23.97,0.0417
38.75,227.05,24.08,0.0415
41.25,227.04,22.3,0.0448
43.75,227.03,28.07,0.0356
46.25,227.02,25.01,0.04
48.75,227.01,25.76,0.0388
51.25,227,19.94,0.0502
53.75,226.98,26.61,0.0376
56.25,226.97,20.54,0.0487
58.75,226.96,24.28,0.0412
61.25,226.95,27.68,0.0361
63.75,226.94,21.06,0.0475
66.25,226.93,20.66,0.0484
68.75,226.92,21.55,0.0464
71.25,226.91,22.17,0.0451
73.75,226.9,15.34,0.0652
76.25,226.89,30.89,0.0324
78.75,226.88,21.48,0.0465
81.25,226.87,21.19,0.0472
83.75,226.85,21,0.0476
86.25,226.84,22.1,0.0453
88.75,226.83,22.7,0.044
91.25,226.82,24.14,0.0414
93.75,226.81,24.32,0.0411
96.25,226.8,24.52,0.0408
98.75,226.79,24.98,0.04
101.25,226.78,25.43,0.0393
103.75,226.77,26.1,0.0383
106.25,226.78,30.95,0.0323
108.75,226.79,28.28,0.0354
111.25,226.8,28.65,0.0349
113.75,226.81,28.26,0.0354
116.25,226.82,26.49,0.0378
118.75,226.83,33.22,0.0301
121.25,226.84,29,0.0345
123.75,226.84,38.83,0.0258
126.25,226.85,28.68,0.0349
128.75,226.86,36.24,0.0276
131.25,226.87,33.78,0.0296
133.75,226.88,35.61,0.0281
136.25,226.89,33.17,0.0301
138.75,226.9,38.33,0.0261
141.25,226.9,35.53,0.0281
143.75,226.91,37.79,0.0265
146.25,226.92,32.66,0.0306
148.75,226.93,28.92,0.0346
151.25,226.93,40.11,0.0249
153.75,226.94,33.58,0.0298
156.25,226.95,44.14,0.0227
158.75,226.96,34.62,0.0289
161.25,226.96,46.6,0.0215
163.75,226.97,39.2,0.0255
166.25,226.98,46.17,0.0217
168.75,226.98,37.76,0.0265
171.25,226.99,40.93,0.0244
173.75,227,40.36,0.0248
176.25,227,38.16,0.0262
178.75,227.01,32.76,0.0305
181.25,227.02,28.5,0.0351
183.75,227.02,28.4,0.0352
186.25,227.03,29.86,0.0335
188.75,227.03,36.17,0.0276
191.25,227.04,32.72,0.0306
193.75,227.04,37.12,0.0269
196.25,227.05,33.31,0.03
198.75,227.05,39.21,0.0255
201.25,227.04,34.74,0.0288
203.75,227.03,46.51,0.0215
206.25,227.02,27.97,0.0358
208.75,227.01,32.23,0.031
211.25,227.01,15.69,0.0638
213.75,227,24.2,0.0413
216.25,226.99,18.36,0.0545
218.75,226.98,13.96,0.0716
221.25,226.97,24.64,0.0406
223.75,226.96,26.38,0.0379
226.25,226.95,24.97,0.04
228.75,226.94,24.58,0.0407
231.25,226.93,24.36,0.041
233.75,226.92,20.14,0.0497
236.25,226.91,22.16,0.0451
238.75,226.9,39.15,0.0255
241.25,226.89,14.18,0.0705
243.75,226.88,13.59,0.0736
246.25,226.87,63.73,0.0157
248.75,226.86,32.57,0.0307
251.25,226.85,44.28,0.0226
253.75,226.84,42.87,0.0233
256.25,226.83,45.8,0.0218
258.75,226.82,22.51,0.0444
261.25,226.81,30.3,0.033
263.75,226.8,21,0.0476
266.25,226.79,27.99,0.0357
268.75,226.78,22.96,0.0435
271.25,226.77,26.28,0.0381
273.75,226.76,26.14,0.0383
276.25,226.75,28.05,0.0356
278.75,226.74,29.2,0.0342
281.25,226.73,30.33,0.033
283.75,226.72,31.14,0.0321
286.25,226.71,32.08,0.0312
288.75,226.7,33.17,0.0301
291.25,226.69,28.47,0.0351
293.75,226.68,27.91,0.0358
296.25,226.67,24.53,0.0408
298.75,226.65,23.46,0.0426
301.25,226.63,20.8,0.0481
303.75,226.61,21.38,0.0468
306.25,226.59,17.96,0.0557
308.75,226.57,22.16,0.0451
311.25,226.55,21.63,0.0462
313.75,226.53,24.76,0.0404
316.25,226.51,23.67,0.0422
318.75,226.49,24.47,0.0409
321.25,226.47,23.52,0.0425
323.75,226.45,22.98,0.0435
326.25,226.43,21.95,0.0455
328.75,226.41,22.13,0.0452
331.25,226.39,21.05,0.0475
333.75,226.37,20.85,0.048
336.25,226.35,20.87,0.0479
338.75,226.32,20.91,0.0478
341.25,226.3,22.1,0.0452
343.75,226.28,24.56,0.0407
346.25,226.26,24.61,0.0406
348.75,226.24,24.88,0.0402
351.25,226.21,26.32,0.038
353.75,226.19,26.2,0.0382
356.25,226.17,24.55,0.0407
358.75,226.15,25.93,0.0386
361.25,226.12,24.14,0.0414
363.75,226.1,24.43,0.0409
366.25,226.08,24.51,0.0408
368.75,226.05,23.64,0.0423
371.25,226.03,31.33,0.0319
373.75,226.01,14.32,0.0698
376.25,225.99,37.15,0.0269
378.75,225.96,15.83,0.0632
381.25,225.94,15.04,0.0665
383.75,225.91,33.13,0.0302
386.25,225.89,20.28,0.0493
