X,Elevation,Resistivity,Conductivity
506.25,220.82,20.29,0.0493
508.75,220.83,19.97,0.0501
511.25,220.85,20.46,0.0489
513.75,220.86,19.14,0.0523
516.25,220.88,20.18,0.0496
518.75,220.89,20.27,0.0493
521.25,220.91,20.74,0.0482
523.75,220.92,20.58,0.0486
526.25,220.94,21.11,0.0474
528.75,220.95,22.66,0.0441
531.25,220.97,21.96,0.0455
533.75,220.98,22.2,0.045
536.25,220.99,21.26,0.047
538.75,221.01,21.43,0.0467
541.25,221.02,19.48,0.0513
543.75,221.03,24.69,0.0405
546.25,221.05,24.7,0.0405
548.75,221.06,26.47,0.0378
551.25,221.07,25.86,0.0387
553.75,221.08,25.83,0.0387
556.25,221.1,25.5,0.0392
558.75,221.11,25.49,0.0392
561.25,221.12,28.05,0.0357
563.75,221.13,20.36,0.0491
566.25,221.14,20.75,0.0482
568.75,221.15,21.43,0.0467
571.25,221.17,21.19,0.0472
573.75,221.18,19.09,0.0524
576.25,221.19,21.26,0.047
578.75,221.2,20.68,0.0483
581.25,221.21,21.24,0.0471
583.75,221.22,21.09,0.0474
586.25,221.23,20.98,0.0477
588.75,221.24,20.86,0.0479
591.25,221.25,20.08,0.0498
593.75,221.26,19.79,0.0505
596.25,221.27,19.83,0.0504
598.75,221.27,19.8,0.0505
601.25,221.28,19.2,0.0521
603.75,221.29,19.19,0.0521
606.25,221.3,19.55,0.0512
608.75,221.3,19.62,0.051
611.25,221.3,20.84,0.048
613.75,221.3,20.87,0.0479
616.25,221.3,20.4,0.049
618.75,221.3,20.42,0.049
621.25,221.3,19.91,0.0502
623.75,221.3,19.41,0.0515
626.25,221.3,20.23,0.0494
628.75,221.29,20.3,0.0493
631.25,221.29,19.71,0.0507
633.75,221.29,19.94,0.0501
636.25,221.29,20.65,0.0484
638.75,221.29,20.41,0.049
641.25,221.28,20.24,0.0494
643.75,221.28,20.31,0.0492
646.25,221.28,19.02,0.0526
648.75,221.27,20.95,0.0477
651.25,221.27,23.05,0.0434
653.75,221.27,20.51,0.0488
656.25,221.26,18.32,0.0546
658.75,221.26,20.67,0.0484
661.25,221.25,20.33,0.0492
663.75,221.25,19.56,0.0511
666.25,221.24,21.7,0.0461
668.75,221.24,23.78,0.042
671.25,221.23,23.99,0.0417
673.75,221.23,25.54,0.0392
676.25,221.22,25.27,0.0396
678.75,221.22,24.26,0.0412
681.25,221.21,23.25,0.043
683.75,221.21,23.42,0.0427
686.25,221.2,24.45,0.0409
688.75,221.19,27.89,0.0359
691.25,221.19,25.91,0.0386
693.75,221.18,25.09,0.0399
696.25,221.17,25.85,0.0387
698.75,221.17,25.63,0.039
701.25,221.16,26.54,0.0377
703.75,221.15,28.37,0.0352
706.25,221.15,28.83,0.0347
708.75,221.15,28.94,0.0345
711.25,221.15,32.66,0.0306
713.75,221.15,38.61,0.0259
716.25,221.16,39.48,0.0253
718.75,221.16,58.89,0.017
721.25,221.16,54.64,0.0183
723.75,221.16,65.53,0.0153
726.25,221.16,58.6,0.0171
728.75,221.17,58.74,0.017
731.25,221.17,47.83,0.0209
733.75,221.17,47.69,0.021
736.25,221.17,45.25,0.0221
738.75,221.17,40.44,0.0247
741.25,221.17,40.43,0.0247
743.75,221.18,39.09,0.0256
746.25,221.18,39.4,0.0254
748.75,221.18,39.28,0.0255
751.25,221.18,41.8,0.0239
753.75,221.18,41.22,0.0243
756.25,221.18,40.75,0.0245
758.75,221.19,41.3,0.0242
761.25,221.19,38.52,0.026
763.75,221.19,37.44,0.0267
766.25,221.19,35.06,0.0285
